rank,peak,all_time_peak,actual_gross,adjusted_gross_in_2022_dollars,artist,tour_title,year_s,shows,average_gross,year_s_start,year_s_end,rank_bin,rank_outlier,peak_log,all_time_peak_log,actual_gross_bin,actual_gross_scaled,actual_gross_log,actual_gross_outlier,adjusted_gross_in_2022_dollars_bin,adjusted_gross_in_2022_dollars_scaled,adjusted_gross_in_2022_dollars_log,adjusted_gross_in_2022_dollars_outlier,shows_bin,shows_log,shows_outlier,average_gross_bin,average_gross_scaled,average_gross_log,average_gross_outlier,year_s_start_bin,year_s_start_scaled,year_s_start_outlier,year_s_end_bin,year_s_end_scaled,year_s_end_outlier
11.0,2.0,10.0,229100000.0,283202896.0,beyoncé,the mrs. carter show world tour,2013-2014,132.0,1.735606e+06,2013,2014.0,"(10.5, 15.25]",False,1.0986123,2.3978953,"(191500000.0, 239750000.0]",-0.37645683913617517,19.24966915178863,False,"(245755688.25, 297488872.0]",-0.4005950150345205,19.46167414925129,False,"(87.0, 134.5]",4.890349,False,"(1647508.0, 2342100.0]",-0.5867272,14.366868,False,"(2011.25, 2013.5]",-0.1511893293340043,False,"(2011.5, 2014.0]",-0.10633346522782765,False
12.0,2.0,14.0,227400000.0,295301479.0,lady gaga,the monster ball tour,2009-2011,203.0,1.118227e+06,2009,2011.0,"(10.5, 15.25]",False,1.0986123,2.7080503,"(191500000.0, 239750000.0]",-0.38733138126194105,19.242221143678247,False,"(245755688.25, 297488872.0]",-0.32071670636309113,19.503507358553946,False,"(134.5, 325.0]",5.31812,False,"(615384.999, 1647508.0]",-0.7686657,13.927256,False,"(2001.999, 2011.25]",-0.862668526199983,False,"(2004.999, 2011.5]",-0.6645841576738276,False
13.0,2.0,10.0,204000000.0,251856802.0,katy perry,prismatic world tour,2014-2015,151.0,1.350993e+06,2014,2015.0,"(10.5, 15.25]",False,1.0986123,2.3978953,"(191500000.0, 239750000.0]",-0.5370162552283657,19.13363055671045,False,"(245755688.25, 297488872.0]",-0.6075509017012186,19.344371241901495,False,"(134.5, 325.0]",5.0238805,False,"(615384.999, 1647508.0]",-0.7000707,14.116351,False,"(2013.5, 2016.5]",0.02668046988249038,False,"(2014.0, 2016.75]",0.07975009892083901,False
14.0,1.0,10.0,200000000.0,299676265.0,cher,"living proof, the farewell tour",2002-2005,325.0,615385.0,2002,2005.0,"(10.5, 15.25]",False,0.6931472,2.3978953,"(191500000.0, 239750000.0]",-0.5626034131713442,19.11382792951231,False,"(297488872.0, 392445084.25]",-0.291833116732847,19.518213336625138,False,"(134.5, 325.0]",5.786897,True,"(615384.999, 1647508.0]",-0.9168506,13.330005,False,"(2001.999, 2011.25]",-2.107757120715446,True,"(2004.999, 2011.5]",-1.7810855425658276,False
15.0,2.0,10.0,194000000.0,281617035.0,madonna,confessions tour,2006,60.0,3.233333e+06,2006,,"(10.5, 15.25]",False,1.0986123,2.3978953,"(191500000.0, 239750000.0]",-0.6009841500858121,19.083368722182243,False,"(245755688.25, 297488872.0]",-0.41106532337294177,19.456058677577374,False,"(59.0, 87.0]",4.1108737,False,"(2342100.0, 4933024.25]",-0.14535466,14.989024,False,"(2001.999, 2011.25]",-1.3962779238494671,False,,,True
16.0,2.0,10.0,184000000.0,227452347.0,pink,the truth about love tour,2013-2014,142.0,1.295775e+06,2013,2014.0,"(15.25, 20.0]",False,1.0986123,2.3978953,"(149999999.999, 191500000.0]",-0.6649520449432585,19.030446321008043,False,"(185423108.999, 245755688.25]",-0.7686761003668813,19.24245131507495,False,"(134.5, 325.0]",4.962845,False,"(615384.999, 1647508.0]",-0.71634316,14.07462,False,"(2011.25, 2013.5]",-0.1511893293340043,False,"(2011.5, 2014.0]",-0.10633346522782765,False
17.0,2.0,10.0,170000000.0,213568571.0,lady gaga,born this way ball,2012-2013,98.0,1.734694e+06,2012,2013.0,"(15.25, 20.0]",False,1.0986123,2.3978953,"(149999999.999, 191500000.0]",-0.7545070977436835,18.951309000896888,False,"(185423108.999, 245755688.25]",-0.8603407643075248,19.179468519393463,False,"(87.0, 134.5]",4.59512,False,"(1647508.0, 2342100.0]",-0.58699596,14.366343,False,"(2011.25, 2013.5]",-0.329059128550499,False,"(2011.5, 2014.0]",-0.29241702937649433,False
18.0,2.0,10.0,169800000.0,207046755.0,madonna,rebel heart tour,2015-2016,82.0,2.070732e+06,2015,2016.0,"(15.25, 20.0]",False,1.0986123,2.3978953,"(149999999.999, 191500000.0]",-0.7557864556408325,18.9501318377308,False,"(185423108.999, 245755688.25]",-0.9033996606713608,19.148455200119997,False,"(59.0, 87.0]",4.4188404,False,"(1647508.0, 2342100.0]",-0.48796728,14.543413,False,"(2013.5, 2016.5]",0.20455026909898508,False,"(2014.0, 2016.75]",0.2658336630695057,False
19.0,2.0,10.0,167700000.0,204486106.0,adele,adele live 2016,2016-2017,121.0,1.38595e+06,2016,2017.0,"(15.25, 20.0]",False,1.0986123,2.3978953,"(149999999.999, 191500000.0]",-0.7692197135608962,18.937687232756467,False,"(185423108.999, 245755688.25]",-0.920305798458008,19.136010594709028,False,"(87.0, 134.5]",4.804021,False,"(615384.999, 1647508.0]",-0.689769,14.141897,False,"(2013.5, 2016.5]",0.38242006831547976,False,"(2016.75, 2024.0]",0.45191722721817235,False
20.0,2.0,10.0,150000000.0,185423109.0,taylor swift,the red tour,2013-2014,86.0,1.744186e+06,2013,2014.0,"(15.25, 20.0]",False,1.0986123,2.3978953,"(149999999.999, 191500000.0]",-0.8824428874585764,18.826145858727198,False,"(185423108.999, 245755688.25]",-1.0461651622007315,19.038150852734624,False,"(59.0, 87.0]",4.465908,False,"(1647508.0, 2342100.0]",-0.5841987,14.371799,False,"(2011.25, 2013.5]",-0.1511893293340043,False,"(2011.5, 2014.0]",-0.10633346522782765,False
